view,seed,modularity,communities,salt_community_size,salt_participation,salt_community_jaccard_vs_seed0
validated_probable,15,0.8280216576426489,25,95,0.228515625,0.5578947368421052
validated_probable,16,0.8291998125780925,26,49,0.5078125,0.9245283018867925
validated_probable,17,0.8301967930029155,25,53,0.46484375,1.0
validated_probable,18,0.8315118700541441,27,53,0.46484375,1.0
validated_probable,19,0.828512078300708,24,95,0.228515625,0.5578947368421052
validated_no_concept,0,0.7615420129270545,12,29,0.4385633270321362,1.0
validated_no_concept,1,0.756578947368421,12,36,0.3742911153119092,0.8055555555555556
validated_no_concept,2,0.7615420129270545,12,29,0.4385633270321362,1.0
validated_no_concept,3,0.7565404739919975,13,29,0.4385633270321362,1.0
validated_no_concept,4,0.7615420129270545,12,29,0.4385633270321362,1.0
validated_no_concept,5,0.7553574176669744,12,29,0.4385633270321362,1.0
validated_no_concept,6,0.756578947368421,12,36,0.3742911153119092,0.8055555555555556
validated_no_concept,7,0.7603589566020313,11,29,0.4385633270321362,1.0
validated_no_concept,8,0.7553574176669744,12,29,0.4385633270321362,1.0
validated_no_concept,9,0.7565404739919975,13,29,0.4385633270321362,1.0
validated_no_concept,10,0.7565404739919975,13,29,0.4385633270321362,1.0
validated_no_concept,11,0.7615420129270545,12,29,0.4385633270321362,1.0
validated_no_concept,12,0.7565404739919975,13,29,0.4385633270321362,1.0
validated_no_concept,13,0.7515774084333641,13,36,0.3742911153119092,0.8055555555555556
validated_no_concept,14,0.756578947368421,12,36,0.3742911153119092,0.8055555555555556
validated_no_concept,15,0.756578947368421,12,36,0.3742911153119092,0.8055555555555556
validated_no_concept,16,0.7615420129270545,12,29,0.4385633270321362,1.0
validated_no_concept,17,0.7615420129270545,12,29,0.4385633270321362,1.0
validated_no_concept,18,0.756578947368421,12,36,0.3742911153119092,0.8055555555555556
validated_no_concept,19,0.7515774084333641,13,36,0.3742911153119092,0.8055555555555556
validated_probable_no_concept,0,0.7803981151186858,15,31,0.499054820415879,1.0
validated_probable_no_concept,1,0.7745922696378502,16,35,0.499054820415879,0.6923076923076923
validated_probable_no_concept,2,0.7764492594060568,14,35,0.499054820415879,0.6923076923076923
validated_probable_no_concept,3,0.7736454250524801,15,39,0.4385633270321362,0.7948717948717948
validated_probable_no_concept,4,0.7768823123559548,15,35,0.499054820415879,0.6923076923076923
validated_probable_no_concept,5,0.7797448657535855,13,31,0.499054820415879,1.0
