node,weighted_degree,weighted_in_degree,weighted_out_degree,pagerank,betweenness,closeness,eigenvector
avalokiteswara (chen-re-zig),1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
avalokiteswara's robe,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
awareness,1.0,1.0,0,0.00024604888693946606,0.0,0.0004002801961372961,1.5209821497553187e-32
away,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,0.0005526706763032068
azem,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
azevedo,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
azevedo and oliveira,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
azevedo and oliveira away with kind words,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
baba siddique,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
bactrian camel,3.0,0,3.0,0.00020559983644291994,0.0,0.0,8.345474291697066e-42
bactrian magpie,3.0,0,3.0,0.00020559983644291994,0.0,0.0,0.05179183917817621
bags of salt,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
baitistan,4.0,1.0,3.0,0.00038029261709899437,2.7045959198465955e-07,0.0003002101471029721,1.5735120692147335e-39
bakar-wals (nomadic herdspeople),1.0,1.0,0,0.0002864979374360122,0.0,0.0004002801961372961,0.0003409771176363943
ball,4.0,4.0,0,0.0004967544708697106,0.0,0.0012008405884118883,3.308801672707734e-33
balti army,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.00035904847811394594
balti community,1.0,0,1.0,0.00020559983644291994,0.0,0.0,3.4490024047636377e-41
balti invasion,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
baltis,3.0,0,3.0,0.00020559983644291994,0.0,0.0,0.10302804308841006
baltistan,7.0,3.0,4.0,0.000511621781911434,5.950111023662509e-06,0.0012008405884118881,0.004596481349568943
banaras brocades and other woven fabrics,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.004489852046562148
bar-headed goose,1.0,0,1.0,0.00020559983644291994,0.0,0.0,4.738887047182311e-34
bara-lacha-la pass,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
bardan,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
bards of chigtan,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
bare hills,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
