Place,Latitude,Longitude
Meany,47.6556645,-122.3106617
Sanam,14.8338514,3.9181117
Jhanda,22.1037969,78.9423829
Phota,25.095121,78.2842612
Madras,44.6334544,-121.129487
Ambala District,30.3435002,76.9493554
Jogis,51.3322224,6.5655153
Batér,45.151156,14.8486684
IV,14.9274109,46.6084967
annasa,37.3894932,34.8602478
Kangsang,24.4694363,94.038904
Dogra,24.5349339,77.6703009
t.c.,16.908066,-96.7288246
Bésul,5.1236615,102.6306633
Gaeén,32.9539056,93.5413155
Dhuli,29.7741211,81.2797683
Waldn,49.7251081,12.1019205
medica,44.2684479,11.8330943
Béghal,36.1745977,6.371169
millet,38.4136108,27.1798189
Dharmpur,31.8068498,76.7534586
Narain,32.7964575,74.9326677
Ladakh,33.9456407,77.6568576
Biju,28.9250174,81.4475005
Sangié,33.26177,126.38678
Bégri,22.3087616,74.5361093
Baghéti,27.6981989,85.4840937
hela,54.6066432,18.8027076
Arki,37.3867725,26.7341062
Chandle,18.0289752,73.6016607
ma.,31.1728205,-7.3362482
Kuthér State,32.2205037,76.0630811
Bhandér,25.72876,78.7489202
Nigi,17.7356214,9.3238432
kana,8.0300284,-1.0800271
Kandwar,33.1083711,74.8974466
Tokana,-20.0725939,-66.1432278
chuli,29.3498466,82.2075954
Sultanpur,26.2604732,82.2380532
Metals,45.5353439,11.9509805
Sidhapur,17.6027208,77.9608418
Mo,44.5384728,10.9359609
Bissu,47.1723988,0.9900416
Tibetan,31.8280766,87.4064278
Solon,41.8072344,-91.4940604
Anji,30.6383107,119.6755006
Persica,45.6933267,8.2058491
Luri,42.8974121,9.407423
Civil,41.020077,38.926304
Kailéa,21.3097923,-158.0221366
Spilé,40.1118204,19.7234817
Chérang,5.8658122,102.4866272
Kochi,9.9679032,76.2444378
Bathia,35.9159891,1.8400969
Deo,-23.5339809,-46.6558993
Paréli,40.4365777,-3.6951977
Bharos,5.9460031,-56.9946473
"Rs,.500",41.937649,-96.472942
Karli,51.3253875,12.3736819
Manini,44.6758413,10.0138085
Pak,13.4509043,79.1145053
Sinam,27.3093134,87.8244817
Khatri,24.8570619,67.0018474
Biale,52.4980137,19.5146748
Shéli,45.5642,126.928
artisans§and,49.1654585,-123.9439693
jagir,-7.302567,112.7376028
baghéra,25.3772588,78.0325326
Rohra,22.6796453,77.6965374
Rishi,10.4787327,8.9410787
Baseh,-7.363323,109.1860318
Kulu,39.0370572,33.028629
Gadi,28.5895007,81.0209674
Débling,48.2612506,16.328471
Hill States,40.3785813,-105.5979225
Kupar,38.7445809,40.5481788
the States of ‘Mangal,40.6393726,-73.608257
A.D.,45.5371719,12.1713559
Kinam,6.0150316,125.4126343
Néban,37.4876455,126.9935544
arrang,34.8098403,74.3497787
Shipki,31.8107057,78.7439528
Sipar,9.2396051,-83.2466526
Asvang,63.4118083,10.4504389
Zére,6.4410782,17.669129
